386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,387,411,388,386,386,386,386,386,386,386,386,386,386,387,388,386,386,386,386,386,386,70,118,118,71,386,386,386
386,386,387,388,336,337,337,338,386,386,386,387,388,386,336,337,337,337,338,386,386,387,385,385,385,411,388,386,386,386,386,386,387,388,387,385,385,411,388,386,387,411,388,94,118,118,95,387,388,386
363,363,363,363,290,344,370,365,365,365,365,365,365,365,365,370,370,209,288,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,119,140,141,141,142,363,363,363
360,361,361,361,291,270,348,292,361,361,361,361,362,360,291,270,348,274,292,361,361,362,384,360,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,70,143,140,141,141,142,71,361,362
290,370,347,347,315,293,348,316,347,347,207,207,312,290,339,293,348,293,340,370,370,288,313,314,233,209,139,209,370,370,207,209,370,370,207,207,207,207,207,370,207,93,143,140,294,295,142,93,163,288
290,128,129,347,339,293,348,340,370,347,347,347,209,290,370,370,370,370,370,207,370,288,128,129,257,207,207,370,370,207,370,370,207,370,370,207,209,207,370,370,207,93,167,164,165,165,166,93,370,288
290,200,201,207,207,207,370,370,370,370,370,370,370,291,265,265,265,265,265,265,265,292,200,152,129,207,370,207,370,207,207,209,347,264,265,265,265,266,207,370,370,94,118,118,118,118,118,95,207,288
290,347,347,207,207,207,207,207,370,370,207,207,370,339,293,293,293,293,293,293,293,340,128,153,201,370,370,370,207,370,370,264,265,292,293,293,293,290,207,207,256,140,91,91,91,141,141,142,207,288
290,370,370,370,207,370,370,370,207,207,207,207,207,370,207,370,370,370,370,370,370,207,200,201,370,370,207,370,207,370,370,288,72,316,293,293,293,290,370,207,256,164,296,115,298,165,165,166,207,288
290,207,370,207,207,207,370,370,370,370,370,370,207,370,370,370,207,370,370,370,370,370,370,370,207,370,370,370,370,370,207,288,96,340,346,346,346,290,370,370,256,256,320,256,320,207,207,207,207,288
290,208,207,207,207,209,370,370,370,264,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,292,264,265,265,265,266,290,207,207,370,256,256,256,370,370,370,207,209,288
291,265,265,265,265,265,270,348,274,292,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,316,288,414,414,414,290,290,370,207,370,370,207,207,207,370,207,209,209,288
339,293,293,293,293,293,293,348,293,340,293,293,293,293,293,293,293,293,293,293,293,293,293,294,297,295,293,293,293,293,293,340,312,313,313,349,314,291,265,265,265,265,265,265,265,265,265,265,265,292
339,293,293,293,293,293,293,348,293,340,346,346,472,206,220,220,206,120,121,122,220,472,206,206,305,206,368,368,176,177,220,176,177,253,220,328,220,315,293,293,293,293,293,293,293,293,293,293,293,316
290,3,4,4,5,322,322,328,176,177,176,177,120,121,121,121,121,145,496,145,122,220,220,220,220,220,368,368,200,201,176,153,201,253,220,328,220,339,293,293,293,293,293,293,293,293,293,293,293,340
290,27,28,28,29,376,170,328,200,152,153,201,144,280,376,496,376,280,145,496,146,267,313,313,313,313,268,368,472,208,200,201,220,220,220,328,220,176,177,132,133,220,163,370,139,220,163,206,208,288
290,48,50,48,48,170,162,328,176,153,201,472,144,376,280,300,280,376,376,496,146,290,120,121,329,329,288,368,220,220,220,220,220,328,328,328,328,200,201,156,157,208,206,220,220,220,370,83,85,288
290,122,328,328,328,328,328,328,200,201,208,120,145,496,280,324,280,496,376,145,146,290,168,170,264,348,292,220,220,328,328,328,328,328,220,220,328,370,370,370,370,370,220,220,163,370,163,107,109,288
290,376,121,121,122,328,120,121,121,121,121,376,145,376,280,280,280,376,145,496,170,291,348,274,292,348,340,328,328,328,217,220,220,220,220,220,176,177,132,133,163,220,217,220,220,206,206,370,370,288
290,169,169,376,146,328,144,496,145,145,376,145,145,280,376,496,376,280,145,146,472,339,348,293,340,328,328,328,176,177,208,220,220,123,125,220,200,201,156,157,132,133,163,220,370,208,132,133,370,288
290,176,177,144,146,328,168,169,169,376,145,145,496,145,169,169,169,169,169,170,328,328,328,176,177,176,177,176,153,152,177,176,177,147,148,124,125,346,253,253,156,157,220,220,220,370,156,157,208,288
290,200,201,168,170,328,220,472,220,168,169,376,145,170,472,220,472,220,220,220,220,123,125,200,201,200,152,153,152,153,201,200,201,147,148,148,149,346,253,253,346,346,206,217,217,217,132,133,163,288
290,253,472,220,220,328,220,217,176,177,253,144,146,267,289,313,289,268,220,123,124,148,173,220,220,206,200,152,153,201,208,220,123,148,148,148,148,125,176,177,472,208,80,82,220,220,156,157,370,288
290,472,220,328,328,328,220,208,200,152,177,144,146,291,265,265,265,292,220,147,148,149,253,123,125,57,57,57,152,177,176,177,147,148,172,172,148,149,200,201,80,82,104,106,220,220,370,370,220,288
290,220,328,328,217,472,217,208,176,153,201,144,146,339,98,99,100,340,253,171,172,148,124,148,444,49,49,49,200,152,153,201,171,173,176,177,171,148,125,347,104,106,220,472,220,220,220,220,220,288
290,220,328,220,220,220,220,176,153,152,177,276,145,121,121,170,206,206,176,177,208,147,148,172,148,124,124,125,176,153,152,177,253,220,200,152,177,147,148,125,220,220,472,220,220,220,220,220,220,288
